<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,60,20230216,110000,154.0400000,154.5000000,151.6200000,153.3000000,5093000
GAZP,60,20230216,120000,153.3000000,154.2200000,153.0300000,153.7400000,1951760
GAZP,60,20230216,130000,153.7500000,153.7500000,152.7000000,152.9000000,1650340
GAZP,60,20230216,140000,152.9000000,152.9200000,152.5000000,152.6900000,1114120
GAZP,60,20230216,150000,152.7000000,153.5000000,152.6500000,153.2000000,1340900
GAZP,60,20230216,160000,153.1800000,153.4600000,152.6500000,152.8200000,1143650
GAZP,60,20230216,170000,152.8200000,152.8900000,152.1700000,152.2400000,903200
GAZP,60,20230216,180000,152.2500000,153.0400000,152.1500000,152.7400000,1203280
GAZP,60,20230216,190000,152.7400000,153.1000000,152.5800000,153.1000000,1324960
GAZP,60,20230216,200000,153.2000000,153.2000000,152.7000000,152.8800000,305790
GAZP,60,20230216,210000,152.8800000,153.0900000,152.7200000,153.0300000,250560
GAZP,60,20230216,220000,153.0500000,153.2800000,153.0000000,153.0300000,179780
GAZP,60,20230216,230000,153.0300000,153.3200000,152.9000000,153.3100000,379870
GAZP,60,20230217,000000,153.2700000,153.6000000,153.1200000,153.5600000,441150
GAZP,60,20230217,110000,153.3900000,154.3000000,152.8300000,153.8200000,2727460
GAZP,60,20230217,120000,153.8200000,154.1000000,153.2700000,154.0500000,1260060
GAZP,60,20230217,130000,154.0500000,155.0800000,154.0500000,154.6500000,3015600
GAZP,60,20230217,140000,154.6500000,154.6600000,154.2400000,154.4700000,891760
GAZP,60,20230217,150000,154.4700000,154.4700000,153.5200000,153.9000000,1518000
GAZP,60,20230217,160000,153.9000000,154.0000000,153.3100000,153.7000000,974270
GAZP,60,20230217,170000,153.7000000,153.7600000,153.4500000,153.5800000,545130
GAZP,60,20230217,180000,153.5800000,153.5800000,153.1100000,153.2800000,641380
GAZP,60,20230217,190000,153.2800000,153.7800000,153.2500000,153.7800000,585710
GAZP,60,20230217,200000,153.7800000,153.7800000,153.4400000,153.6100000,235060
GAZP,60,20230217,210000,153.6100000,153.7500000,153.5700000,153.6500000,178080
GAZP,60,20230217,220000,153.6100000,153.7100000,153.5000000,153.5300000,174480
GAZP,60,20230217,230000,153.5600000,153.6300000,153.4000000,153.4500000,230140
GAZP,60,20230218,000000,153.4500000,153.6200000,153.2600000,153.6200000,270180
GAZP,60,20230220,110000,153.6300000,153.8600000,152.0200000,152.4700000,2759380
GAZP,60,20230220,120000,152.4700000,152.7800000,152.0000000,152.0100000,1562270
GAZP,60,20230220,130000,152.0400000,152.0800000,152.0000000,152.0800000,1394820
GAZP,60,20230220,140000,152.0800000,152.0800000,151.6200000,152.0800000,1681800
GAZP,60,20230220,150000,152.0700000,152.0800000,151.6500000,152.0800000,659170
GAZP,60,20230220,160000,152.0800000,152.7000000,152.0300000,152.6600000,986730
GAZP,60,20230220,170000,152.6600000,153.5000000,152.3900000,153.2700000,1543880
GAZP,60,20230220,180000,153.2300000,154.3000000,153.0400000,154.0600000,1827860
GAZP,60,20230220,190000,154.0600000,154.2900000,153.7200000,154.1000000,1142460
